ID;Text;Question
3335;Nationwide is in robust financial health, having achieved profits of over £1 billion for the third consecutive year. As a mutual, profits are not the only barometer of our success, but they are important because they allow us to maintain our financial strength, to invest with confidence, and to return value to you, our members, through pricing and service.;What is the effect of achieving profits of over £1 billion for the third consecutive year?
3336;All the Directors are resident in the UK and their biographical details, which are set out on page s 26 and 27, demonstrate the wide range of skills and experience that they bring to the Board. In view of the Company’s size and as the Board is comprised of only five Directors, all of whom are independent, the Board considers it sensible for all the Directors to be members of the Audit Committee and of the Nomination and Remuneration Committee.;What is the impact of the Company’s small size and having a Board comprised of only five independent Directors?
3337;Overall, Group trading continues to be subdued in large part due to legacy issues;What is the main reason why the Group trading continues to be subdued?
3341;Included within the Group’s administrative expenses are costs in respect of a small number of other portfolio companies. Typically, the Group owns a non-controlling interest in its portfolio companies however, in certain circumstances the Group will take a controlling stake and hence consolidate the results of a portfolio company into the Group's financial statements.;What is the effect of the Group taking a controlling stake?
3343;The following points were noted: • A review of key documentation between the insurers, ITV or the customer had been performed by management • Management had sought legal counsel and opinion As a result of the above actions, management considered it appropriate that: • The outstanding receivables are fully impaired;What happened because of management performing a review of key documentation and seeking legal counsel and opinion?
3346;Corporate responsibility report continued 55 Financial statements Governance Financial statements Strategic report Focused on the environment This year, we continued to implement the objectives set out in our Environmental Policy and as a result, the Bank has introduced many initiatives to enhance our commitment to conducting our business;Why has the Bank introduced many initiatives to enhance their commitment to conducting their business?
3351;The market’s 2017 results are proof, if any were needed, that business as usual is not sustainable. As a result the market is embracing new ways of working, and I am confident the combination of our strategic focus and the market’s proven ability to respond to challenging conditions will ensure Lloyd’s continues to offer innovative and competitive solutions across all lines of business.;What is the impact of the market's 2017 results indicating that business as usual is not sustainable?
3358;For the LTIP, the Committee believes that awards should be linked to the value created for shareholders over the period. Therefore the majority of performance measures used to assess performance under the LTIP will be financial, with a portion based on TSR.;Why will the majority of performance measures used to assess performance under the LTIP be financial?
3360;2 These measures are not reported on a segmental basis because branch and selling costs, central costs and exceptional items (non-finance) are allocated centrally rather than to each reportable segment.;What is the reason these measures are not reported on a segmental basis?
3364;The PBT threshold was met and 30.9% on the scorecard and all personal objectives were achieved. However, no element of the bonus paid out given that such payment would have brought PBT below its threshold target.;Why no element of the bonus paid out?
3366;The mean gender pay gap at Ibstock Brick is 7%. This is significantly lower than the UK average of 17 .4% and the average for companies in the construction sector of 18.1%. This is mostly due to demographics within the Company.;What factor led to the mean gender pay gap at Ibstock Brick being 7% and the construction sector average of 18.1%?
3369;The Committee discussed the fact that, during the year to July 2017, the Directors became aware that a dividend paid in November 2015 totalling £32.4m had been made otherwise than in accordance with the Companies Act 2006, because interim accounts had not been filed at Companies House prior to payment.;What caused the dividend paid in November 2015, totaling £32.4 million, to be made otherwise than in accordance with the Companies Act 2006?
3371;Net capital expenditure was £21.4 million (2016: £14.9 million), with the increase primarily due to investments in IT capabilities, cyber security and automation of our German back-office. We expect capital expenditure to be around £20 million for the year to June 2018.;What led to net capital expenditure increasing to £21.4 million in 2017 from £14.9 million in 2016?
3373;36 Keller Group plc Annual Report and Accounts 2017 Sustainability continued Life on land Keller has improved its processes for the capture and recording of environmental incidents and, as a consequence, we have seen a slight increase in the number of reported environmental incidents in 2017 (12% year on year).;What caused the slight increase in the number of reported environmental incidents in 2017?
3374;Based on these assumptions, and considering the Group’s financial position, strategic plans and principal risks, the Directors have a reasonable expectation that the Group will be able to continue in operation and meet its liabilities as they fall due over the three-year period of their assessment.;What was the implication of considering these assumptions along with the Group’s financial position, strategic plans, and principal risks?
3375;Developments in the year » Change of tax laws or practices as a result of base erosion and profit shifting initiatives (“BEPS”).;What caused a change of tax laws or practices?
3376;The estimation method applied, and the assumptions underlying these are considered appropriate by the Committee and continue to be in line with IFRS requirements. Tracker Shares – the tracker share arrangements are complex in nature and therefore challenging to disclose in a way that is understandable to the reader;Why are tracker share arrangements difficult to disclose in a way that is understandable to the reader?
3377;Businesses and government departments can protect their networks from DDoS attacks fuelled by IoT-driven botnets by deploying a real-time, automated solution at the network edge, which can instantaneously detect and mitigate DDoS activity, thereby eliminating threats from entering a network.;Why can businesses and government departments eliminate threats from entering a network?
3378;"• Specific risks for 2018: reduced flexibility to manage the business due to new controls agreed with lenders; breach of revised banking covenants; and inability to execute corporate actions including funding development projects such as Sea Lion.";What factor led to reduced flexibility to manage the business?
3379;Given that some risks are external and not fully within our control, the risk management processes are designed to manage risks which may have a material impact on our business, rather than to fully mitigate all risks.;What is the impact of some risks being external and not fully within their control?
3380;The Board sets the Company’s values and objectives and ensures that its obligations to Shareholders are met. It has formally adopted a schedule of matters which are required to be brought to it for decision, thus ensuring that it maintains full and effective control over appropriate strategic, financial, operational and compliance issues.;What is the effect of the Board formally adopting a schedule of matters that are required to be brought to it for decision?
3381;Operational Reliance on foreign manufacturers The Group sources most of its products from outside the UK. Consequently, the Group is subject to risks associated with international trade.;Why is the Group subject to risks associated with international trade?
3383;Equity and other market performance Record’s AUME is affected by movements in equity and other market levels because substantially all the Passive and Dynamic Hedging, and some of the Multi-product mandates, are linked to equity and other market levels.;What led to Record’s AUME being affected by movements in equity and other market levels?
