ID,Text,Question,Answer
2759,The fees of the non-executive directors and the Chairman were reviewed in 2017 and as a result no increase will be made in 2018.,What was the consequence of the 2017 review of the fees for non-executive directors and the Chairman?,no increase will be made in 2018
2259.a,The Directors believe that due to the size and nature of the Company it would be unnecessarily burdensome to establish a separate remuneration committee. Remuneration matters are therefore included in matters reserved for the Board.,What factors make the Directors believe it is unnecessary to establish a separate remuneration committee?,the size and nature of the Company
2123.a,"Owing to the Company's REIT status, income and capital gains from our property rental business are exempt from corporation tax, therefore, the tax charge for the year is nil.",What does the Company's REIT status result in?,income and capital gains from our property rental business are exempt from corporation tax the tax charge for the year is
1882.b,"Underlying Group EBITDA declined by 10.1% to £10.0m (2016: £11.2m). This decline has been driven by an increase in UK overheads of £1.0m (5.6%), due to investment in support of our strategic initiatives and well-publicised cost headwinds.","What has motivated the increase in UK overheads by £1.0 million, or 5.6%?",investment in support of our strategic initiatives and well-publicised cost headwinds
1117,No further disclosure is provided for deductions due to the materiality of the numbers.,What reason drives them not to provide disclosure for deductions?,the materiality of the numbers
6120,"The market in closed-end funds can often be illiquid. As such the Company is exposed to the risk that it will not be able to sell its investment at the current market value, or on a timely basis, when the Investment Manager chooses or it is required to do so to meet financial liabilities.",What are the consequences of the relatively high possibility that the market for closed-end funds could be illiquid?,"the Company is exposed to the risk that it will not be able to sell its investment at the current market value, or on a timely basis, when the Investment Manager chooses or it is required to do so to meet financial liabilities"
5146,The Group retains an ownership interest in the development sites and therefore it is well placed to capitalise on any future rises in property prices. The Group tends to enter into fixed price turn-key contracts in respect of its developments in order to minimise the risk of cost overrun. The Group draws on its previous experience in running and managing developments to manage potential development risks.,What are the implications of the Group retaining an ownership interest in the development sites?,it is well placed to capitalise on any future rises in property prices
1994,The Group's business is solely in the UK and therefore we consider there is a low risk of human rights abuses.,What are the implications of the Group's business being limited to the UK?,we consider there is a low risk of human rights abuses
2790.a,"LTL's relative underperformance in year to January 2017 resulted to a large extent from the Manager's unwillingness to own commodity extractors/processors, industrial and leveraged financial companies. Because of the concentrated nature and focus of their portfolios LTL expect to suffer periods like this every so often.",What caused LTL's relative underperformance in the year leading up to January 2017?,"a large extent the Manager's unwillingness to own commodity extractors/processors, industrial and leveraged financial companies"
1849.a,"The Group provides a broader range of services than a conventional fund manager, and due to this significant difference, the peer company comparison is of limited use. In setting the policy, the Committee has therefore considered both the needs of the business and the objectives of its customers.","What are the consequences of the Group providing a broader range of services than a conventional fund manager, unlike others?",this significant difference the peer company comparison is of limited use
1876,"2017 summary > Revenue impacted by lower pricing, owing to pass-through of raw material cost savings > Further commercialisation of new special filters, notably capsule, smaller diameter and visually differentiated formats > Successful transfer of a significant customer-specific product line from the US to Asia.",What explains the revenue being impacted by lower pricing?,pass-through of raw material cost savings
1792.b,The Company is not within the scope of the Modern Slavery Act 2015 because it has insufficient turnover and is therefore not obliged to make a human trafficking statement.,Why is the Company not obliged to make a human trafficking statement?,The Company is not within the scope of the Modern Slavery Act 2015 because it has insufficient turnover
3173,2 Based on the cash returned to shareholders in 2017 through dividends as shown in note 9 to the Financial Statements. The Company did not undertake any buy-backs in the year ended 30 April 2017.,What explains why the Company did not undertake any buy-backs in the year ended 30 April 2017?,the cash returned to shareholders in 2017 through dividends as shown in note 9 to the Financial Statements
2018.a,Reduced number of active sales outlets due to delays in planning process leads to lower build and sales activity.,What is the reduced number of active sales outlets attributed to?,delays in planning process
2712,"Our simplification journey Pearson enters 2018 in a strong financial position because of tight management of costs, actions to simplify the portfolio and a sharper focus on the biggest opportunities – areas that are consistent with our previously announced simplification strategy.",What factors led to Pearson entering 2018 in a strong financial position?,"tight management of costs, actions to simplify the portfolio and a sharper focus on the biggest opportunities – areas that are consistent with our previously announced simplification strategy"
2880,"Based on their assessment and considerations, the Directors have concluded that they should continue to prepare the financial statements of the Company on a going concern basis and the financial statements have been prepared accordingly.",What happened as a result of their assessment and considerations?,the Directors have concluded that they should continue to prepare the financial statements of the Company on a going concern basis and the financial statements have been prepared accordingly
925.b,"Due to the size and composition of the Board, the Group does not operate a nomination committee. New Director appointments are therefore a matter for the Board as a whole.",What is the reason that new Director appointments are a matter for the Board as a whole?,"Due the size and composition of the Board, the Group does not operate a nomination committee"
2046,"This result illustrates how our mining team regained momentum in the last nine months. This was achieved as a result of the decisive action taken, including senior management changes, a flatter operational management structure reporting to me, by-passing the role of Chief Operations Officer and by leveraging our relationship with our partners.","What factors account for the mining team regaining momentum in the last nine months, as suggested by the results?","the decisive action taken, including senior management changes, a flatter operational management structure reporting to me, by-passing the role of Chief Operations Officer and by leveraging our relationship with our partners"
3024.a,"The reduction in the ratio reflects the fact that in 2017 we had significant revenue growth, including the highest ever performance fees. We believe that this ratio is appropriate for this year and therefore additional returns in the form of dividends will accrue to shareholders.",What factors contributed to the reduction in the ratio?,"fact that in 2017 we had significant revenue growth, including the highest ever performance fees"
5234,"Following the poor performance of CE, impairment reviews of its goodwill and other assets were conducted. These resulted in a full impairment of the £19.4m goodwill balance, with further impairments of property, plant & equipment (PP&E) and certain intangible assets totalling £6.6m and £0.9m respectively.",What was the outcome of conducting impairment reviews of its goodwill and other assets following the poor performance of CE?,"a full impairment of the £19.4m goodwill balance, with further impairments of property, plant & equipment (PP&E) and certain intangible assets totalling £6.6m and £0.9m respectively"
5055.b,"We believe that it is correct to recognise the strong performance of our Executive Directors and other top performing staff. This has resulted in significantly improved underlying financial performance by the Group, which in turn has driven good returns for our shareholders and increased the size of the business.",What were the effects of significantly improving the Group's underlying financial performance?,We believe that it is correct to recognise strong performance of our Executive Directors and other top performing staff good returns for our shareholders and increased the size of the business
5091.2.b,"At present, the methodology for implementing the equalisation is uncertain and thus the impact cannot be reliably measured. As a result, no allowance has been made for GMP equalisation in the calculation of the deﬁned beneﬁt obligation within these consolidated financial statements.",What factor explains why no allowance has been made for GMP equalisation in the calculation of the defined benefit obligation within these consolidated financial statements?,"At present, the methodology for implementing the equalisation is uncertain and thus the impact cannot be reliably measured"
5007.2.a,"In accordance with the Company's stated dividend policy, the Board recommends a further quarterly dividend of 3.57p per Ordinary Share, payable on 30 April 2018 to shareholders on the register on 6 April 2018. Total dividends paid for the year therefore amount to 14.04p per Ordinary Share equivalent to a dividend yield of 4.1 per cent at the year-end.",What are the implications of the Company's stated dividend policy?,"the Board recommends a further quarterly dividend of 3.57p per Ordinary Share, payable on 30 April 2018 to shareholders on the register on 6 April 2018"
993,"The Remuneration Committee has been involved in the governance review that commenced in 2016, with external support from PwC. As a consequence of the separation of the PLC and regulated Boards, a new position of Chairman of Charles Stanley & Co. Limited has been created.",What did the separation of the PLC and regulated Boards imply?,a new position of Chairman of Charles Stanley & Co. Limited has been created
3029,"Following several postponements of the hearing initiated by the Greek state, the hearing took place on 14 June 2017. The Group is of the view, based on legal advice, this petition will prevail and has therefore included a balance within trade and other receivables (Note 12).",Why has the Group included a balance within trade and other receivables?,"The Group is ofthe view, based on legal advice, this petition will prevail"
5413,"The restructuring proposal was formally approved by all stakeholders in April 2017 and resulted in the issue of new equity for $57 million, secured bonds of $40 million being exchanged for equity at par, $49.2 million of secured bonds being bought by the Company at par, $27.4 million unsecured bonds being exchanged for equity at 60 cents in the dollar and the remaining $30 million of secured bonds having their terms amended.",What were the consequences of the formal approval of the restructuring proposal by all stakeholders in April 2017?,"the issue of new equity for $57 million, secured bonds of $40 million being exchanged for equity at par, $49.2 million of secured bonds being bought by the Company at par, $27.4 million unsecured bonds being exchanged for equity at 60 cents in the dollar and the remaining $30 million of secured bonds having their terms amended"
6050,"The Directors are able to manage the business, and achieve its strategic objectives, due to an effective risk management framework which features multiple layers.",What accounts for the Directors ability to manage the business and achieve its strategic objectives?,an effective risk management framework which features multiple layers
1635,"The Company incurs significant costs as a result of intellectual property disputes – the Company's ability to compete depends in part, upon the successful protection of its intellectual property.",What do intellectual property disputes translate to?,The Company incurs significant costs the ability to compete
2358,"Earnings per share As a result of the movements explained above, profit after tax for 2017 was £78.3 million as compared with £87.4 million in 2016. Basic EPS was 37.4 pence (FY2016: 42.0 pence) and diluted EPS was 37.3 pence (FY2016: 41.7 pence).",What happened due to the movements explained above?,"Earnings per , profit after tax for 2017 was £78.3 million as compared with £87.4 million in 2016"
2946,Macadamia production in 2017 was disappointing and showed a slight decrease from the already significantly reduced volumes in Malawi and South Africa seen in 2016. This was due to drought conditions,What were the consequences of the drought conditions?,Macadamia production in 2017 was disappointing and showed a slight decrease from the already significantly reduced volumes in Malawi and South Africa seen in 2016
3929,"The value of each Incentive Plan was earned over a period of approximately five years. Therefore, in the view of the Committee, inclusion of these values in respect of the years ended 31 December 2012 and 31 December 2017 does not give a fair representation of the Chief Executive's yearly",Why does the Committee believe that including these values for the years ended 31 December 2012 and 31 December 2017 does not fairly represent the Chief Executive's yearly performance?,The value of each Incentive Plan was earned over a period of approximately five years
5031.a,"We need to have an organisational structure that supports our ambitious growth efforts – that makes it easy for us to put together powerful, targeted solutions to overcome the problems faced by potential customers. That is why from 1 April 2017 we simplified our organisational structure.",What does the existence of an organizational structure that supports ambitious growth efforts facilitate?,"it easy for us to put together powerful, targeted solutions to overcome the problems faced by potential customers"
4147.b,Portfolio performance remained steady reflecting the continuing low base rate environment and stable economic conditions. The non-performing proportion of outstanding balances decreased due to an improved performance and a reduction in repossession stock. The recovery book impairment coverage ratio increased driven by a reduction in the number of customers.,What caused the recovery book impairment coverage ratio to increase?,a reduction in the number of customers
1025,Alternative performance measures (APMs) are used by the Board in assessing the Group's performance and are applied consistently from one period to the next. They therefore provide additional useful information for shareholders on the underlying performance and position of the Group.,Why do Alternative Performance Measures (APMs) provide additional useful information for shareholders?,Alternative performance measures (APMs) are used by the Board in assessing the Group's performance and are applied consistently from one period to the next the
5231,"Towards the end of 2016, a tender for co-sourced Internal Audit services was completed, which resulted in the appointment of Grant Thornton to provide the expertise and experience necessary to support the delivery of effective Internal Audit services.",What was the effect of the tender for co-sourced Internal Audit services being completed?,the appointment of Grant Thornton to provide the expertise and experience necessary to support the delivery of effective Internal Audit services
1599,"Due to the modest size of the Group, the Board is able to maintain a close direct control over all activities of the Group and does not believe it would be cost efficient to operate a separate internal audit function.",What are the implications of the Group's modest size?,the Board is able to maintain a close direct control over all activities of the Group and does not believe it would be cost efficient to operate a separate internal audit function
3641,The Board has assessed its process for reviewing strategic risk and uncertainties during the year. As a result of this we have developed a new framework,What was the impact of the Board assessing its process for reviewing strategic risks and uncertainties during the year?,we have developed a new framework
3903,"The financial year being reported on was a 53 week period, therefore in order to facilitate comparison to prior year a restated 52 week summary of performance measures is detailed below. All year-on-year growth rates in the financial review are provided on a 52 week basis.",Why does the Company provided a restated 52 week summary of performance measures?,The financial year being reported on was a 53 week period
1024,"In addition, the Group also provided analysis for two further reporting segments: 'Discontinued Operations' and 'All Other Segments'. As a result of the Drycleaning disposal, the Committee considered whether it remained appropriate to continue reporting under the remaining segments.",What was the outcome of the Drycleaning disposal?,the Committee considered whether it remained appropriate to continue reporting under the remaining segments
2542,"The European schemes deficit decreased by £0.8 million to £36.7 million (2016: increase of £9.2 million), largely due to the disposal of the Rotary Business of Morgan Rekofa, principally in Germany (the discount rate remained constant at 1.60%).",What caused the European schemes deficit to decrease by £0.8 million to £36.7 million?,"the disposal of the Rotary Business of Morgan Rekofa, principally in Germany ( 1.60"
806,"As a result, revenue was transformed in 2017 rising to $68.9 million (2016: $2.4 million) derived from net liftings of 1,351,000 bbls (2016: 83,200), with 2016 having been severely impacted by the Forcados downtime experienced from February that year. Eland achieved a realised price of $50.98 (2016: $28.52).","What was the impact of net liftings amounting to 1,351,000 barrels in 2016, compared to 83,200 barrels the previous year?",revenue was rising 68.9 million (2016: $2.4 million the Forcados downtime experienced from February that year
5127,"Approved LTIP awards enable the participant and the Company to benefit from tax qualifying option treatment in respect of part of the award, without increasing the pre-tax value delivered to the participant. The approved LTIP awards consist of a tax qualifying option and an LTIP award with the vesting of the LTIP award scaled back to take account of any gain made on exercise of the tax qualifying option.",What does the approved LTIP make possible?,tax qualifying option and an LTIP award with the vesting of the LTIP award scaled back to take account of any gain made the tax qualifying option
3030,The index grew by 8.6% on an annualised basis. Jupiter's annualised underlying EPS growth did not therefore exceed the index by 5%.,What reason led to Jupiter's annualized underlying EPS growth not exceeding the index by 5%?,The index 86
5171.1.a,"The oil distribution business saw sales volumes decline 3.5%, which was a resilient performance given the mild weather conditions, with ambient temperatures during winter and spring higher than the prior year. Our continued good performance can be attributed to our product offer and excellent levels of customer service.",What explains the resilient performance of the oil distribution business despite a 3.5% decline in sales volumes?,"the mild weather conditions, with ambient temperatures during winter and spring higher than the prior year our product offer and excellent levels of customer service"
2054,There are a number of risks in developing drug candidates due to a long and complex development process. Any programme must undergo extensive research to get to preclinical or clinical stage. This process takes several years and is very costly.,What factor contributes to the presence of risks in developing drug candidates?,a long and complex development process
3994,"The Directors, having made appropriate enquiries, have a reasonable expectation that the Group has adequate resources to continue in operation for the foreseeable future. These enquiries included a review of going concern assumptions half yearly through the Audit Committee. For this reason, the Directors believe that it is appropriate to continue to adopt the going concern basis in preparing the Group's accounts.",What factor led the Directors to believe that it is appropriate to continue adopting the going concern basis in preparing the Group's accounts?,"The Directors, having made appropriate enquiries, have a reasonable expectation that the Group has adequate resources to continue in operation for the foreseeable future These enquiries included a review of going concern assumptions half yearly through the Audit Committee"
6111,"Destruction rates were slightly higher than the historic trend and we continued to see comparatively high levels of box removal, driven by an ongoing long-term exit of a major customer from an acquired business.",What motivates the ongoing comparatively high levels of box removal?,an ongoing long-term exit of a major customer from an acquired business
5471.b,"Due to timing of the 2017 year end process, the actual short-term incentive figures for all other employees had not been finalized by the date of this report. Therefore, the 2017 short-term incentive figures represent target figures multiplied by the 2017 Corporate Bonus Modifier score approved by the Committee in early February.",What is the consequence of the actual short-term incentive figures for all other employees not being finalized by the date of this report?,timing of the 2017 year end process target figures multi by the 2017 Corporate Bonus Modifier score approved by the Committee inearlyFebruary
3004,"The Audit and Risk Committee became effective upon Admission in March 2018, therefore no meetings were held in 2017. The committee plans to meet three times in 2018.",What was the reason no meetings took place in 2017?,The Audit and Risk Committee became effective upon Admission in March 2018
2489,"As a result of the Group's performance and individual performance, the Committee determined that the Executive Directors will be awarded bonuses of between 79% and 82% of their maximum opportunity.",What effect did the Group's performance and individual performance have?,the Committee determined that the Executive Directors will be awarded bonuses of between 79% and 82% of their maximum opportunity
5081.a,"Underlying revenue growth (excluding the impact of acquisitions and movements in foreign exchange rates) was 4 per cent, driven by growth in new licence sales and in revenue from maintenance and support contracts of 2 per cent and 8 per cent respectively. The acquisition of ICON in October 2016 contributed a further 4 per cent to revenue growth.",What factors motivated the 4% growth in underlying revenue?,in new licence sales and revenue from maintenance and support contracts of 2 per cent and 8 per cent respectively The acquisition of ICON in October 2016
5444,"The Group seeks to diversify its product offering, and therefore revenue stream, in order to address this risk as well as having in place appropriate incentive schemes to retain and reward key employees.",What is the reason the Group intends to diversify its revenue stream?,address this risk as well as having in place appropriate incentive schemes to retain and reward key employees
