,ID,Text,Question,Answer,the answer is in the text,tokenized text,tokenized Answer,Labeled Text
0,3335,"Nationwide is in robust financial health, having achieved profits of over £1 billion for the third consecutive year. As a mutual, profits are not the only barometer of our success, but they are important because they allow us to maintain our financial strength, to invest with confidence, and to return value to you, our members, through pricing and service.",What is the effect of achieving profits of over £1 billion for the third consecutive year?,Nationwide is in robust financial health,True,"['Nation', '##wide', 'is', 'in', 'robust', 'financial', 'health', ',', 'having', 'achieved', 'profits', 'of', 'over', '£1', 'billion', 'for', 'the', 'third', 'consecutive', 'year', '.', 'As', 'a', 'mutual', ',', 'profits', 'are', 'not', 'the', 'only', 'bar', '##ometer', 'of', 'our', 'success', ',', 'but', 'they', 'are', 'important', 'because', 'they', 'allow', 'us', 'to', 'maintain', 'our', 'financial', 'strength', ',', 'to', 'invest', 'with', 'confidence', ',', 'and', 'to', 'return', 'value', 'to', 'you', ',', 'our', 'members', ',', 'through', 'pricing', 'and', 'service', '.']","['Nation', '##wide', 'is', 'in', 'robust', 'financial', 'health']","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
1,3336,"All the Directors are resident in the UK and their biographical details, which are set out on page s 26 and 27, demonstrate the wide range of skills and experience that they bring to the Board. In view of the Company’s size and as the Board is comprised of only five Directors, all of whom are independent, the Board considers it sensible for all the Directors to be members of the Audit Committee and of the Nomination and Remuneration Committee.",What is the impact of the Company’s small size and having a Board comprised of only five independent Directors?,the Board considers it sensible for all the Directors to be members of the Audit Committee and of the Nomination and Remuneration Committee,True,"['All', 'the', 'Directors', 'are', 'resident', 'in', 'the', 'UK', 'and', 'their', 'biographical', 'details', ',', 'which', 'are', 'set', 'out', 'on', 'page', 's', '26', 'and', '27', ',', 'demonstrate', 'the', 'wide', 'range', 'of', 'skills', 'and', 'experience', 'that', 'they', 'bring', 'to', 'the', 'Board', '.', 'In', 'view', 'of', 'the', 'Company', '’', 's', 'size', 'and', 'as', 'the', 'Board', 'is', 'comprised', 'of', 'only', 'five', 'Directors', ',', 'all', 'of', 'whom', 'are', 'independent', ',', 'the', 'Board', 'considers', 'it', 'sensible', 'for', 'all', 'the', 'Directors', 'to', 'be', 'members', 'of', 'the', 'Audi', '##t', 'Committee', 'and', 'of', 'the', 'No', '##mination', 'and', 'Re', '##mu', '##ner', '##ation', 'Committee', '.']","['the', 'Board', 'considers', 'it', 'sensible', 'for', 'all', 'the', 'Directors', 'to', 'be', 'members', 'of', 'the', 'Audi', '##t', 'Committee', 'and', 'of', 'the', 'No', '##mination', 'and', 'Re', '##mu', '##ner', '##ation', 'Committee']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
2,3337,"Overall, Group trading continues to be subdued in large part due to legacy issues",What is the main reason why the Group trading continues to be subdued?,legacy issues,True,"['Overall', ',', 'Group', 'trading', 'continues', 'to', 'be', 'subdued', 'in', 'large', 'part', 'due', 'to', 'legacy', 'issues']","['legacy', 'issues']","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True]"
3,3341,"Included within the Group’s administrative expenses are costs in respect of a small number of other portfolio companies. Typically, the Group owns a non-controlling interest in its portfolio companies however, in certain circumstances the Group will take a controlling stake and hence consolidate the results of a portfolio company into the Group's financial statements.",What is the effect of the Group taking a controlling stake?,consolidate the results of a portfolio company into the Group's financial statements,True,"['Inc', '##luded', 'within', 'the', 'Group', '’', 's', 'administrative', 'expenses', 'are', 'costs', 'in', 'respect', 'of', 'a', 'small', 'number', 'of', 'other', 'portfolio', 'companies', '.', 'Typically', ',', 'the', 'Group', 'owns', 'a', 'non', '-', 'controlling', 'interest', 'in', 'its', 'portfolio', 'companies', 'however', ',', 'in', 'certain', 'circumstances', 'the', 'Group', 'will', 'take', 'a', 'controlling', 'stake', 'and', 'hence', 'con', '##solidate', 'the', 'results', 'of', 'a', 'portfolio', 'company', 'into', 'the', 'Group', ""'"", 's', 'financial', 'statements', '.']","['con', '##solidate', 'the', 'results', 'of', 'a', 'portfolio', 'company', 'into', 'the', 'Group', ""'"", 's', 'financial', 'statements']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
4,3343,"The following points were noted: • A review of key documentation between the insurers, ITV or the customer had been performed by management • Management had sought legal counsel and opinion As a result of the above actions, management considered it appropriate that: • The outstanding receivables are fully impaired",What happened because of management performing a review of key documentation and seeking legal counsel and opinion?,The outstanding receivables are fully impaired,True,"['The', 'following', 'points', 'were', 'noted', ':', '•', 'A', 'review', 'of', 'key', 'documentation', 'between', 'the', 'ins', '##urers', ',', 'ITV', 'or', 'the', 'customer', 'had', 'been', 'performed', 'by', 'management', '•', 'Management', 'had', 'sought', 'legal', 'counsel', 'and', 'opinion', 'As', 'a', 'result', 'of', 'the', 'above', 'actions', ',', 'management', 'considered', 'it', 'appropriate', 'that', ':', '•', 'The', 'outstanding', 're', '##ce', '##ivable', '##s', 'are', 'fully', 'impaired']","['The', 'outstanding', 're', '##ce', '##ivable', '##s', 'are', 'fully', 'impaired']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True]"
5,3346,"Corporate responsibility report continued 55 Financial statements Governance Financial statements Strategic report Focused on the environment This year, we continued to implement the objectives set out in our Environmental Policy and as a result, the Bank has introduced many initiatives to enhance our commitment to conducting our business",Why has the Bank introduced many initiatives to enhance their commitment to conducting their business?,"This year, we continued to implement the objectives set out in our Environmental Policy",True,"['Corporate', 'responsibility', 'report', 'continued', '55', 'Financial', 'statements', 'Go', '##vern', '##ance', 'Financial', 'statements', 'Strategic', 'report', 'Focus', '##ed', 'on', 'the', 'environment', 'This', 'year', ',', 'we', 'continued', 'to', 'implement', 'the', 'objectives', 'set', 'out', 'in', 'our', 'Environmental', 'Policy', 'and', 'as', 'a', 'result', ',', 'the', 'Bank', 'has', 'introduced', 'many', 'initiatives', 'to', 'enhance', 'our', 'commitment', 'to', 'conducting', 'our', 'business']","['This', 'year', ',', 'we', 'continued', 'to', 'implement', 'the', 'objectives', 'set', 'out', 'in', 'our', 'Environmental', 'Policy']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
6,3351,"The market’s 2017 results are proof, if any were needed, that business as usual is not sustainable. As a result the market is embracing new ways of working, and I am confident the combination of our strategic focus and the market’s proven ability to respond to challenging conditions will ensure Lloyd’s continues to offer innovative and competitive solutions across all lines of business.",What is the impact of the market's 2017 results indicating that business as usual is not sustainable?,"the market is embracing new ways of working, and I am confident the combination of our strategic focus and the market’s proven ability to respond to challenging conditions will ensure Lloyd’s continues to offer innovative and competitive solutions across all lines of business",True,"['The', 'market', '’', 's', '2017', 'results', 'are', 'proof', ',', 'if', 'any', 'were', 'needed', ',', 'that', 'business', 'as', 'usual', 'is', 'not', 'sustainable', '.', 'As', 'a', 'result', 'the', 'market', 'is', 'em', '##bracing', 'new', 'ways', 'of', 'working', ',', 'and', 'I', 'am', 'confident', 'the', 'combination', 'of', 'our', 'strategic', 'focus', 'and', 'the', 'market', '’', 's', 'proven', 'ability', 'to', 'respond', 'to', 'challenging', 'conditions', 'will', 'ensure', 'Lloyd', '’', 's', 'continues', 'to', 'offer', 'innovative', 'and', 'competitive', 'solutions', 'across', 'all', 'lines', 'of', 'business', '.']","['the', 'market', 'is', 'em', '##bracing', 'new', 'ways', 'of', 'working', ',', 'and', 'I', 'am', 'confident', 'the', 'combination', 'of', 'our', 'strategic', 'focus', 'and', 'the', 'market', '’', 's', 'proven', 'ability', 'to', 'respond', 'to', 'challenging', 'conditions', 'will', 'ensure', 'Lloyd', '’', 's', 'continues', 'to', 'offer', 'innovative', 'and', 'competitive', 'solutions', 'across', 'all', 'lines', 'of', 'business']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
7,3358,"For the LTIP, the Committee believes that awards should be linked to the value created for shareholders over the period. Therefore the majority of performance measures used to assess performance under the LTIP will be financial, with a portion based on TSR.",Why will the majority of performance measures used to assess performance under the LTIP be financial?,"For the LTIP, the Committee believes that awards should be linked to the value created for shareholders over the period",True,"['For', 'the', 'L', '##TI', '##P', ',', 'the', 'Committee', 'believes', 'that', 'awards', 'should', 'be', 'linked', 'to', 'the', 'value', 'created', 'for', 'shareholders', 'over', 'the', 'period', '.', 'Therefore', 'the', 'majority', 'of', 'performance', 'measures', 'used', 'to', 'assess', 'performance', 'under', 'the', 'L', '##TI', '##P', 'will', 'be', 'financial', ',', 'with', 'a', 'portion', 'based', 'on', 'T', '##SR', '.']","['For', 'the', 'L', '##TI', '##P', ',', 'the', 'Committee', 'believes', 'that', 'awards', 'should', 'be', 'linked', 'to', 'the', 'value', 'created', 'for', 'shareholders', 'over', 'the', 'period']","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8,3360,"2 These measures are not reported on a segmental basis because branch and selling costs, central costs and exceptional items (non-finance) are allocated centrally rather than to each reportable segment.",What is the reason these measures are not reported on a segmental basis?,"branch and selling costs, central costs and exceptional items (non-finance) are allocated centrally rather than to each reportable segment",True,"['2', 'These', 'measures', 'are', 'not', 'reported', 'on', 'a', 'segment', '##al', 'basis', 'because', 'branch', 'and', 'selling', 'costs', ',', 'central', 'costs', 'and', 'exceptional', 'items', '(', 'non', '-', 'finance', ')', 'are', 'allocated', 'central', '##ly', 'rather', 'than', 'to', 'each', 'report', '##able', 'segment', '.']","['branch', 'and', 'selling', 'costs', ',', 'central', 'costs', 'and', 'exceptional', 'items', '(', 'non', '-', 'finance', ')', 'are', 'allocated', 'central', '##ly', 'rather', 'than', 'to', 'each', 'report', '##able', 'segment']","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
9,3364,"The PBT threshold was met and 30.9% on the scorecard and all personal objectives were achieved. However, no element of the bonus paid out given that such payment would have brought PBT below its threshold target.",Why no element of the bonus paid out?,such payment would have brought PBT below its threshold target,True,"['The', 'P', '##B', '##T', 'threshold', 'was', 'met', 'and', '30', '.', '9', '%', 'on', 'the', 'score', '##card', 'and', 'all', 'personal', 'objectives', 'were', 'achieved', '.', 'However', ',', 'no', 'element', 'of', 'the', 'bonus', 'paid', 'out', 'given', 'that', 'such', 'payment', 'would', 'have', 'brought', 'P', '##B', '##T', 'below', 'its', 'threshold', 'target', '.']","['such', 'payment', 'would', 'have', 'brought', 'P', '##B', '##T', 'below', 'its', 'threshold', 'target']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False]"
