ID;Text;Question;Answer
5164;Succession planning has been a key focus of the Nomination Committee ('Committee') during the year. We continued our focus on the Non-Executive Director refreshment programme, and the ongoing review of the composition of the Board and its Committees. In keeping with this, the Committee carried out a robust recruitment process resulting in the appointment of Gurnek Bains and Jean-Michel Valette in July, and the appointment of Graham Allan in October 2017.;What were the consequences of the Committee's robust recruitment process, which resulted from the ongoing review of the composition of the Board and its Committees?;the appointment of Gurnek Bains and Jean-Michel Valette in July, and the appointment of Graham Allan in October 2017
5080.2.b;As the Board consists entirely of non-executive directors it is considered appropriate that matters relating to remuneration are considered by the Board as a whole, rather than a separate remuneration committee. All directors are considered independent with the exception of Oliver Bedford who is an employee of Hargreave Hale Limited and is not therefore independent.;What is the reason Oliver Bedford is the only director not deemed as independent?;All directors are considered independent with the exception of Oliver Bedford who is an employee of Hargreave Hale Limited
6169;There were a number of changes to our Board in 2015/16, and when the 2016 external review was held new relationships and ways of working were still being established. We therefore decided to ask Lorna Parker, an independent Board evaluation consultant who carried out the external evaluation in 2016, to do a follow-up review in 2017.;What explains the decision to ask Lorna Parker, the independent Board evaluation consultant who conducted the external evaluation in 2016, to perform a follow-up review in 2017?;There were a number of changes to our Board in 2015/16, and when the 2016 external review was held new relationships and ways of working were still being established
1957;In light of recent disclosures, a review of the effectiveness of the Corporate Governance and Financial Reporting procedures is to be undertaken, and the effective operation of the Committee will be encompassed within that review.;What were the implications of recent disclosures?;a review of the effectiveness of the Corporate Governance and Financial Reporting procedures is to be undertaken, and the effective operation of the Committee will be encompassed within that review
4034.a;This increase in gross rental income came as a result of the letting progress and asset management initiatives referred to above and in previous periods, offset by £0.95 million less income as a result of disposals last year.;What caused the increase in gross rental income?;letting progress and asset management initiatives referred to above and in previous periods
2641.b;We expect to deploy Capex at a typical rate of approximately £15-25 million per annum. The depth of opportunities across the portfolio enables us to focus investment on those with the strongest impact and thereby provides flexibility, allowing us to respond dynamically to any changes in occupier demand;What allows them to respond dynamically to any changes in occupier demand?;flexibility
6025;Revenue shown as corporate and other comprises, principally, intersegment revenue relating to the supply of inventories, spare parts and fixed assets, and rendering management services to the Group's production entities. Intersegment revenue is recognised based on costs incurred plus a fixed margin basis. External revenue shown within corporate and other represents revenue from services provided to third parties by the Group's non-mining subsidiaries. Business segment current assets and liabilities, other than current inventory, are not reviewed by the CODM and therefore are not disclosed in these consolidated financial statements. The segment adjusted EBITDA reconciles to the profit before income tax as shown on the next page.;What are the implications of the CODM not reviewing the business segment's current assets and liabilities, excluding current inventory?;are not disclosed in these consolidated financial statements
1395.1;The Committee also reviewed the impact of the reduction in US federal tax rates as a result of tax reform in the US, which resulted in a reduction of deferred tax balances of $617 million.;What caused the reduction in US federal tax rates?;tax reform in the US
6130.b;The Committee met in August 2017 to consider the reappointment of Jeremy Wilson as a non-executive director, having completed his second term of three years. Given that this was Jeremy's second term a particularly rigorous review of his independence was carried out focussing on his contributions to Board discussions, challenges of management, experience of finance and capital markets and the overall mix of experience of the Board.;What was the effect of this being Jeremy's second term?;a particularly rigorous review of his independence was carried out focussing on his contributions to Board discussions, challenges of management, experience of finance and capital markets and the overall mix of experience of the Board
6060;Corporate social responsibility at Auto Trader is driven by our values and culture and is focused on making a difference to our employees, our community and our industry. This, along with our diversity and inclusion strategy, is embedded into how we operate on a daily basis. As an employer, it comprises employee engagement, rewards and recognition schemes, people development, health and safety, the environmental impact, sustainability and energy efficient operations.;What accounts for Corporate social responsibility at Auto Trader?;our values and culture
3688.a;"The value of the October 2013 Bonus-Linked Shares vesting was £325,098.45 for Dave Shemmans, and £148,082.29 for Mark Garrett inclusive of an additional compensatory cash payment (Dave Shemmans: £4,468.25; Mark Garrett: £2,035.29) made because, due to a technical timing issue, these awards did not receive any benefit from the November 2016 final dividend.";What was the cause for the additional compensatory cash payments to Dave Shemmans and Mark Garrett?;these awards did not receive any benefit from the November 2016 final dividend
5257.1;Group adjusted operating margins declined by 80bps to 5.5% (2016: 6.3%), primarily due to an increase in operating costs from investments in the Group's customer propositions, together with a 20bps decline in gross margins.;What factors drove the Group's decline in adjusted operating margins by 80bps, to 5.5%, compared to 2016's 6.3%?;an increase in operating costs from investments in the Group's customer propositions, together with a 20bps decline in gross margins
1610.a;The cash flow target remains unchanged from the prior year as the growth in the business has been offset by the negative impact on cash flow of disposals and foreign exchange movements. The target range therefore remains of a similar level of stretch to that in prior years.;What explains the cash flow target remaining unchanged from the prior year?;the growth in the business has been offset by the negative impact on cash flow of disposals and foreign exchange movements
1164.b;The Malus and Clawback provisions are: – Material misstatement resulting in an adjustment to the audited accounts – Incorrect assessment of any performance conditions or award calculations due to an error or misleading information and – Fraud and Gross misconduct.;What are the effects of an error or misleading information?;Incorrect assessment of any performance conditions or award calculations
2123.b;Owing to the Company's REIT status, income and capital gains from our property rental business are exempt from corporation tax, therefore, the tax charge for the year is nil.;What is the reason tax charge for the year is nil?;income and capital gains from our property rental business are exempt from corporation tax
1436;In relation to our external stakeholders, NEPI Rockcastle strongly believes in collaborating with partners sharing the same values, hence, ethical behaviour clauses were included in the standard contract templates to be signed with any supplier.;What was the outcome of NEPI Rockcastle strongly believing in collaboration with partners who share the same values?;ethical behaviour clauses were included in the standard contract templates to be signed with any supplier
3246;With respect to the appointment of a new Chairman or non–executive director, the approach will be consistent with that currently adopted. Variable pay will not be considered and as such no maximum applies. With respect to non–executive directors, fees will be consistent with policy at the time of appointment.;Why does no maximum apply?;Variable pay will not be considered
1478;In view of the current term of the RCF, the Company is able to confirm that sufficient working capital is available for the financial year ending 31 March 2018, without needing to refinance. The Investment Adviser will, however, consider refinancing options periodically aligned to the pipeline of potential transactions.;What were the consequences of the current term of the RCF?;the Company is able to confirm that sufficient working capital is available for the financial year ending 31 March 2018, without needing to refinance
1747;Given that the Shareholders entrust the Board of Directors with the management of the Company's affairs, it is necessary that the Board accounts for itself to Shareholders. The process of accountability involves providing all the necessary information for Shareholders to make judgements about the Board's stewardship and performance.;What explains the need for the Board to account for itself to Shareholders?;the Shareholders entrust the Board of Directors with the management of the Company's affairs
5159;The non-standard nature of the properties within the commercial mortgage portfolio means that there are also a number of loans that are not past due or are past due by less than three months at the reporting date, but where objective evidence indicates that losses are likely. A total individual impairment provision of £7.7m (2016: £8.4m), as shown in note 16 to the Accounts, is held against these accounts and the individually impaired loans in the above tables.;What are the implications of the non-standard nature of the properties within the commercial mortgage portfolio?;there are also a number of loans that are not past due or are past due by less than three months at the reporting date, but where objective evidence indicates that losses are likely
5244;Following this review, the Committee recommended to the Board that all Directors except for Simon Gordon, who resigned as an Executive Director on 1 March 2018, and Danie Meintjes, who has announced that he will not stand for re-election, be re-appointed, and hence all Directors will seek election or re-election at the annual general meeting.;What are the consequences of the Committee recommending to the Board that all Directors to be re-appointed, except for Simon Gordon and Danie Meintjes?;all Directors will seek election or re-election at the annual general meeting
1961;The Group complied with the provisions of the Code throughout the period under review other than as detailed below: a) The Group's Non-Executive Directors have not been appointed for specified terms. The Board considers that, due to the requirement for Non-Executive Directors to stand for re-election at least annually, this practice ensures ongoing accountability and alignment with shareholder interests.;What explains why the Board considers that this practice ensures ongoing accountability and alignment with shareholder interests?;the requirement for Non-Executive Directors to stand for re-election at least annually
3291;In light of the shareholder response to the 2016 remuneration report, contact was made with certain of the Company's major shareholders and shareholder reporting bodies with a view to discuss any concerns. The Remuneration Committee considered the feedback received at length during 2017.;What happened as a result of the shareholder response to the 2016 remuneration report?;contact was made with certain of the Company's major shareholders and shareholder reporting bodies with a view to discuss any concerns
1015;– Too significant a shift towards ranges with a casual end use, sales of which tend to be particularly dependent on weather, and therefore did not perform well this year. In addition, this year's casual ranges were not sufficiently appealing to our customers.;What was the impact of sales being dependent on weather conditions?;did not perform well this year
1568;The Group uses financial instruments where applicable to assist in the management of foreign exchange and interest rate risks, principally forward exchange contracts and interest rate swaps. Emerging issues and opportunities arising as a result of the UK decision to leave the EU will be monitored.;What is the origin of the emerging issues and opportunities that will be monitored?;the UK decision to leave the EU
3051.b;For the reasons set out in the AIC Guide and as explained in the UK Code, the Board considers these provisions are not relevant to the position of the Company, being an externally-managed investment company. The Company has therefore not reported further in respect of these provisions.;Why has the Company not reported further in regard to these provisions?;the Board considers these provisions are not relevant to the position of the Company, being an externally-managed investment company
1673;During the year we invested in a new mill-sized cardboard baler to allow us to increase the revenue earned from this waste stream. We also invested in a new general waste compactor to reduce the volume of our non-recyclable waste and therefore the number of collections.;What drove the reduction of the number of collections?;We also invested in a new general waste compactor to reduce the volume of our non-recyclable waste
1026;Hardware margin rates improved 1.9 percentage points to 6.1% due to improved supplier terms and higher achieved average selling prices on the new console iterations launched during the year, comprising the Xbox One S, PlayStation 4 Slim, PlayStation 4 Pro and Nintendo Switch.;What factors contributed to the hardware margin improving by 1.9 percentage points to 6.1%?;improved supplier terms and higher achieved average selling prices on the new console iterations launched during the year, comprising the Xbox One S, PlayStation 4 Slim, PlayStation 4 Pro and Nintendo Switch
5340.3;Due to the inclusion of the 53rd week in FY17, the FY16 figures in the table below represent the 53 weeks ended 2 April 2016.;What does the inclusion of the 53rd week in FY17 bring about?;the FY16 figures in the table below represent the 53 weeks ended 2 April 2016
2768;As a result of its business model, the Group also faces liquidity and capital adequacy risk.;What is the implication of its business model?;the Group also faces liquidity and capital adequacy risk
1626;In terms of the assessment of the key risks facing the Company, it is recognised that the investment portfolio forms a significant element of its assets. The recognition, ownership and valuation of the investment portfolio is therefore an area of particular attention by the Committee.;Why is the recognition, ownership and valuation of the investment portfolio an area of particular attention for the Committee?;In terms of the assessment of the key risks facing the Company, it is recognised that the investment portfolio forms a significant element of its assets
2760.a;3. M D Dwyer – appointed to the Board on 19th October 2015 so last year's salary was only for a partial year. In addition, he received a salary increase of 7% as of 1st January 2016, therefore 12 months at the increased salary this year;Why was last year's salary only for a partial year?;M D Dwyer – appointed to the Board on 19th October 2015
1510;We recognise the employment needs of the local communities and the positive impact that employment has on the local economy. It is for this reason that we always consider employing people from the local communities before searching further afield.;What explains their practice of considering local candidates before looking further afield?;We recognise the employment needs of the local communities and the positive impact that employment has on the local economy
3883;Neil Johnson OBE Chairman Overview In challenging times, it's never been more important that we provide reliable and affordable support, helping our customers achieve worry-free independence and freedom. I am delighted, therefore, that this year has seen us maintain outstanding levels of customer satisfaction of 98%;What is the reason the chairman is delighted that this year has seen the maintenance of outstanding customer satisfaction levels of 98%?;In challenging times, it's never been more important that we provide reliable and affordable support, helping our customers achieve worry-free independence and freedom
5381;Administrative expenses were $39.8 million, increasing 28.4 percent from $31.0 million in FY 2016. The increase in administrative expenses was driven by the continued investment in GBGI's operational platform and associated infrastructure, certain one-off expenses and IPO related expenses.;What factors drove the 28.4% increase in administrative expenses to $39.8 million from $31.0 million in FY 2016?;the continued investment in GBGI's operational platform and associated infrastructure, certain one-off expenses and IPO related expenses
5014.2;At the 2018 Annual General Meeting the directors' remuneration report will be put to shareholders for approval by way of an advisory vote. In accordance with the Act, a resolution to approve the Company's revised remuneration policy will also be submitted to shareholders for a binding vote.;What will be the implication of the Act?;a resolution to approve the Company's revised remuneration policy will also be submitted to shareholders for a binding vote
3650;Staff turnover due to perceived uncertainty during the integration process. Board of Directors and Key management At Executive and senior management level, appropriate staffing structures are in place to ensure best leadership across the Group. All key personnel have been retained post-merger and during operational integration.;What caused a staff turnover?;perceived uncertainty during the integration process
5080.1;In light of the obligations set out above, the Board has reviewed its existing remuneration levels and compared to a peer group of VCTs with net asset values of similar size to the Company. The Board has decided to maintain the annual remuneration of the non-executive Directors at £18,000 and the Chairman at £22,500.;What were the implications of the obligations set out above?;the Board has reviewed its existing remuneration levels and compared to a peer group of VCTs with net asset values of similar size to the Company
2252;We also monitored: – The non-audit fees and independence of Deloitte LLP, our auditors for the 2015 year-end process, until they achieved independence. This was confirmed with effect from 5 May 2017 and thus proposed engagements up until that date remained subject to approval prior to appointment;What was the impact of the confirmation of Deloitte LLP's independence?;proposed engagements up until that date remained subject to approval prior to appointment
861;Diluted EPS on underlying trading for FY16 was 15.0p based on a profit after tax before exceptional items of 75,518,000 for the 52 week period. As a result, EPS growth over this period was 16.9% p.a.;What prompted EPS growth to be 16.9% p.a. over this period?;Diluted EPS on underlying trading for FY16 was 15.0p based on a profit after tax before exceptional items of 75,518,000 for the 52 week period
5224;In the light of the knowledge and understanding of the Group and the Parent Company and its environment obtained in the course of the audit, we have not identified material misstatements in the Strategic report and the Directors' report.;What are the implications of the knowledge and understanding of the Group, the Parent Company, and its environment obtained during the audit?;we have not identified material misstatements in the Strategic report and the Directors' report
3681.b;The financial results for the year reflect a period of transition for Circassia. Gross profit Gross margin increased from 65% to 78%. This was mainly due to the contribution of revenues from the AstraZeneca collaboration for the full year, which due to the agreement structure have a 100% gross margin.;Why did the contribution of revenues from the AstraZeneca collaboration for the full year have a 100% gross margin?;the agreement structure
2927;The committee understands that listening to the views of the company's key stakeholders plays a vital role in formulating and implementing a successful remuneration policy over the long term. The committee thus actively seeks the views of shareholders and other key stakeholders;Why does the committee thus seek the views of shareholders and other key stakeholders?;The committee understands that listening to the views of the company's key stakeholders plays a vital role in formulating and implementing a successful remuneration policy over the long term
2186;S&M infrastructure expanded in the US Sales and marketing expenditure was £28.6 million (2016: £20.4 million). The increase in cost is due to an expansion of the salesforce in order to increase the reach into target prescribers as well as having salesforce costs for the entire year.;What factors contributed to S&M's marketing expenditure rising to £28.6 million, compared to £20.4 million in 2016?;an expansion of the salesforce in order to increase the reach into target prescribers as well as having salesforce costs for the entire year
5129.2;"The Board has reviewed the timeframe over which it makes this assessment and continues to believe that three years is the appropriate timeframe to assess viability. This conclusion is reached as a result of: • alignment with detailed planning undertaken for a period of three years within the strategic planning process, which is used by the Group in assessing business performance and taking strategic decisions; • the relatively short-term nature of some of our more significant risks, such as the potential for disruption in our customer-facing markets, where we monitor the risks and available mitigations frequently; • the commodity markets in which the Group operates where transparent and executable pricing is generally only available for a three-year period, allowing market-based information to be used within our forecasts for this period; and • increasing uncertainty inherent in estimations beyond this period.";What are the factors influencing the Board's conclusion that three years is the appropriate timeframe to assess viability?;"alignment with detailed planning undertaken for a period of three years within the strategic planning process, which is used by the Group in assessing business performance and taking strategic decisions; • the relatively short-term nature of some of our more significant risks, such as the potential for disruption in our customer-facing markets, where we monitor the risks and available mitigations frequently; • the commodity markets in which the Group operates where transparent and executable pricing is generally only available for a three-year period, allowing market-based information to be used within our forecasts for this period; and • increasing uncertainty inherent in estimations beyond this period"
1820.b;B's product offering and advanced functionality has resulted in a market-leading customer experience and, at September 2017, B had a Net Promoter Score (NPS) of over 40. As a result, since its launch in May 2016, B has over 100,000 accounts and deposit balances of c.£1bn.;What explains B's over 100,000 accounts and deposit balances of c.£1bn since its launch in May 2016?;B's product offering and advanced functionality has resulted in a market-leading customer experience and, at September 2017, B had a Net Promoter Score (NPS) of over 40
5229.2;These global trends triggered a clear upward movement in steel, coal and iron ore prices.;What did these global trends bring about?;a clear upward movement in steel, coal and iron ore prices
5264.2;Net assets decreased by 2.9% to £33.8 million (2016: £34.8 million) and therefore net asset value per share decreased to 233 pence (2016: 241 pence).;What does the 2.9% decrease in net assets to £33.8 million, compared to £34.8 million in 2016, stem from?;net asset value per share decreased to 233 pence (2016: 241 pence)
835.a;Key Metrics Risk-weighted assets (RWAs) RWAs reduced by £27 billion (12%), ending the year at £201 billion (from £228 billion in 2016). This reduction was driven by NatWest Markets, where RWAs fell by £16.8 billion due to the continued run-off of the legacy business and mitigation activities.;What did the reduction in RWAs by £27 billion (12%) lead to?;ending the year at £201 billion (from £228 billion in 2016)
5475;The effective tax rate for the year is 20.40%, which is higher than the UK corporate tax rate for the year of 19.25%. This is mainly due to the change in expected future US corporate tax rates from 35% to 21%.;What is the reason for the change in expected future US corporate tax rates from 35% to 21%?;The effective tax rate for the year is 20.40%, which is higher than the UK corporate tax rate for the year of 19.25%
2353;Due to a delay caused by failure of the renewable energy plant to hand over the processing site on time, we invested, at additional cost, in a short-term mobile processing facility for the Fort Road site.;What was the reason for investing in a short-term mobile processing facility for the Fort Road site?;a delay caused by failure of the renewable energy plant to hand over the processing site on time
982;Activities in the year ended 31 March 2017. During the year the Committee undertook the following activities: • reviewed financial year reporting matters and disclosures • reviewed the structure, size and composition of the Board and Committees in light of the external evaluation results.;What factor facilitated the review of the structure, size and composition of the Board and Committees?;the external evaluation results
2311;Profit before tax decreased by £16.0 million to £78.9 million (FY2016: £94.9 million) principally as a result of exceptional costs totalling £17.7 million (FY2016: exceptional income of £4.3 million), which includes exceptional refinancing costs of £16.3 million, and a reduction in the gain on investment properties by £2.5 million.;What did exceptional costs totaling £17.7 million cause?;Profit before tax decreased by £16.0 million to £78.9 million (FY2016: £94.9 million)
2847;In light of the performance of the executive team in 2017 relative to the financial targets and strategic objectives set, the Remuneration Committee is satisfied that the reward outcomes are appropriate.;What caused the Remuneration Committee to be satisfied that the reward outcomes are appropriate?;the performance of the executive team in 2017 relative to the financial targets and strategic objectives set
3728.b;Like-for-like revenue 1 was down 3% in the year due to a reduction in customer visits. Improved cost discipline in the year led to a 2% fall in operating expenses;What caused a 2% fall in operating expenses?;Improved cost discipline in the year
2334;"(2) It should be noted that £4,048,893 of the above for Paul Cuff amount relates to the Xafinity Incentive Share Plan 2013 awards that were granted pre-Admission (and were therefore ""one-off"" in nature) that all vested at IPO – as described on page 148 of the Prospectus.";Why were the awards one-off in nature?;the Xafinity Incentive Share Plan 2013 awards that were granted pre-Admission
1629;The legislation to repeal the Minerals Resource Rent Tax (MRRT) in Australia took effect on 30 September 2014. As a result, the Group derecognised a MRRT deferred tax asset of US$809 million and corresponding taxation charges of US$698 million.;What did the legislation repealing the Minerals Resource Rent Tax (MRRT), which took effect on 30 September 2014 in Australia, lead to?;the Group derecognised a MRRT deferred tax asset of US$809 million and corresponding taxation charges of US$698 million
3063;3 Sir Roy Gardner has been a Member of the Committee since 1 June 2015. He was unable to attend the September 2017 and December 2017 Committee Meetings due to unavoidable scheduling conflicts.;What caused Sir Roy Gardner to be unable to attend the Committee Meetings in September 2017 and December 2017?;unavoidable scheduling conflicts
1183.b;Fiscal pressures on Government as a result of reduced revenues due to lower oil prices is evident in the increasing number of audits being undertaken to identify areas of non-compliance. The Group remains committed to maintaining the highest levels of compliance and works closely with local regulatory authorities.;What caused the reduction in revenues?;lower oil prices
2987;However, it is not just future changes that have been part of the Committee's considerations. As of 3 January 2018, the Company will be subject to MiFID II regulation due to the Manager being a MIFID firm.;What is the implication of the Manager being a MIFID firm?;As of 3 January 2018, the Company will be subject to MiFID II regulation
1934;What are we doing to manage the risk? Following the Brexit vote, our main defined benefit pension scheme has seen a significant growth in the accounting value of liabilities due to the fall in long term interest rates. These financial conditions are likely to remain for the foreseeable future.;What has been the result of the fall in long term interest rates?;Following the Brexit vote, our main defined benefit pension scheme has seen a significant growth in the accounting value of liabilities
1909;BHP's overall financial performance was significantly improved in FY2017, however, controllable financial performance was below the stretching financial target set at the commencement of the year. This was mainly due to the negative impacts on production volumes and operating costs at Escondida.;What mainly accounts for BHP's controllable financial performance being below the stretching financial target set at the beginning of the year?;the negative impacts on production volumes and operating costs at Escondida
6077.1.b;Fees of £9,000 were charged by Deloitte LLP for the provision of independent advice to the Committee. Deloitte LLP is a member of the Remuneration Consultants Group and as such voluntarily operates under the Code of Conduct in relation to executive remuneration consulting in the UK.;What are the implications of Deloitte LLP being a member of the Remuneration Consultants Group?;voluntarily operates under the Code of Conduct in relation to executive remuneration consulting in the UK
5051.b;Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution. This drives the need for new, digital printing processes which are capable of delivering short print runs quickly, economically and in a more environmentally friendly way.;What triggers the need for new digital printing processes that can quickly, economically, and environmentally deliver short print runs?;Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution
4019;John Crabtree OBE Chairman 23 January 2018 Outlook It is early days. Our year-end came just six weeks after our IPO and as such we cannot say much other than that we are where we expected to be at IPO and that 2017 continued a string of successful years.;Why can they only say that they are where they expected to be at IPO and that 2017 continued a string of successful years?;Our year-end came just six weeks after our IPO
2106;Recurring licence revenue accounted for 90 per cent of recognised revenues at £21.8m (FY2016: £8.2m: 85 per cent recognised revenues). Professional Services revenues increased to £2.2m (FY2016: £1.3m) mainly due to a significant increase in training revenues reflecting the significant growth in our customer base.;What did a significant increase in training revenues result in?;Professional Services revenues increased to £2.2m (FY2016: £1.3m)
5237.2;Revenue generated outside the UK is primarily attributable to France £385,000 (2016: £427,000) and Republic of Ireland £292,000 (2016: £306,000).;What accounts for the revenue generated outside the UK?;France £385,000 (2016: £427,000) and Republic of Ireland £292,000 (2016: £306,000)
3208;In total, India's national production volumes for 2017 were up on 2016, primarily due to higher production in south India and increasing volumes from the Bought Leaf sector. Costs continue to rise through wage and general inflation which, without compensatory increases in the market price, creates margin pressure.;What factors caused India's national production volumes for 2017 to be higher than in 2016?;higher production in south India and increasing volumes from the Bought Leaf sector
6026.1;On 7 December 2016, the Lord Chancellor announced a review into the discount rate for personal injury damages awards (the 'Ogden rate'), which is used by UK courts in the calculation of personal injury lump sum settlements. On 27 February 2017, it was announced that there will be a reduction in the Ogden rate from 2.5% to minus 0.75% with effect from 20 March 2017. The Group has therefore adopted a discount rate of minus 0.75% in estimating claims liabilities in existence at 31 January 2017, which has increased both gross insurance technical provisions and the reinsurance claims outstanding by c. £3m.;What motivated the Group's discount rate of minus 0.75% in estimating claims liabilities existing at 31 January 2017?;On 27 February 2017, it was announced that there will be a reduction in the Ogden rate from 2.5% to minus 0.75% with effect from 20 March 2017
3671.a;Having reviewed and challenged the output of the alternative modelling and sensitivity analysis performed by management, the Committee concluded that the fair values recorded in the financial statements for the collateral loan and associated derivatives were within a reasonable range and are therefore considered appropriate.;What was the result of reviewing and challenging the output of the alternative modeling and sensitivity analysis performed by management?;the Committee concluded that the fair values recorded in the financial statements for the collateral loan and associated derivatives were within a reasonable range
1849.b;The Group provides a broader range of services than a conventional fund manager, and due to this significant difference, the peer company comparison is of limited use. In setting the policy, the Committee has therefore considered both the needs of the business and the objectives of its customers.;What is the reason the Committee considers both the needs of the business and the objectives of its customers when setting the policy?;The Group provides a broader range of services than a conventional fund manager, and due to this significant difference, the peer company comparison is of limited use
5294.a;We monitored Pension Risk appetite metrics closely, in part due to the increase in the absolute size of the pension fund due to market movements.;What was the partial reason for monitoring Pension Risk appetite metrics closely?;the increase in the absolute size of the pension fund
1851.b;Reduced service to customers due to lack of reliable management information putting the Group at a competitive disadvantage.;What is the cause of the Group being at a competitive disadvantage?;Reduced service to customers due to lack of reliable management information
2270;Based on our professional judgement, we determined materiality for the financial statements as a whole as follows: Group materiality £1.90m (2016: £1.67m).;What happened due to their professional judgement?;we determined materiality for the financial statements as a whole as follows: Group materiality £1.90m (2016: £1.67m)
2578;We are also considering how development through apprenticeships can support the ongoing development of our existing workforce. We are therefore piloting a Level 4 management apprenticeship with existing staff this year.;Why are they piloting a Level 4 management apprenticeship with existing staff this year?;We are also considering how development through apprenticeships can support the ongoing development of our existing workforce
1284.a;Recognising that women are under-represented in our workforce (see Diversity below), we implement rules for the compensation of non-unionised employees based on gender-independent salary ranges. Currently, any differences in the compensation of men and women are primarily due to different seniorities.;What is the consequence of recognizing that women are under-represented in the workforce?;we implement rules for the compensation of non-unionised employees based on gender-independent salary ranges
860;Material legal and regulatory compliance failure. Serco is subject to numerous laws and regulations as a result of the complexity and breadth of the sectors and jurisdictions in which it operates.;What causes Serco to be subject to numerous laws and regulations?;the complexity and breadth of the sectors and jurisdictions in which it operates
3911;The vanadium market is relatively small and pricing opaque. That said, the fundamentals behind pricing, both in terms of supply and demand, currently look favourable. V2O5 prices increased by 130% over the past year due to tightened supply;What caused V2O5 prices to increase by 130% over the past year?;tightened supply
4120;It is recognised that conflicts of interest will inevitably occur from time to time and that Directors legitimately undertake roles outside of the Group. The Board therefore believes it is important to be transparent in terms of such interests and to ensure they are properly recorded;Why does the Board believe it is important to be transparent and to ensure their interests are properly recorded?;It is recognised that conflicts of interest will inevitably occur from time to time and that Directors legitimately undertake roles outside of the Group
3015;The Company has not undertaken any significant CSR programmes during FY17. Based on our business model as a community lender, we are now planning our approach for FY18.;What is the reason they are planning their approach for FY18?;our business model as a community lender
1516.b;In 2017, the Committee received advice from Deloitte LLP ('Deloitte'), who they appointed in 2015 for their particular expertise both at a local and global level, due to the worldwide operations of the Group and, following review, the Committee remains satisfied that their advice is objective and independent.;What explains Deloitte's particular expertise at both the local and global levels?;the worldwide operations of the Group
5323.1;The Group's performance in 2017 exceeded expectations with excellent top and bottom line growth. Organic like-for-like sales were strong, helped by passenger growth in the air sector, and the year saw the highest level of net gains since IPO at 6.0%, with gains of over 20% in North America and 18% in Rest of World.;What facilitated the strong organic like-for-like sales?;passenger growth in the air sector
