ID;Text;Question;Answer
603.1;En primer lugar, me gustaría destacar que ya hemos construido la nueva planta de Cáseda en un tiempo récord. Han pasado menos de 18 meses desde que se dio la aprobación en el Consejo hasta que se han hecho realidad los primeros metros producidos. Un proyecto de una grandísima complejidad que ha concluido de manera satisfactoria del que me gustaría destacar el reducido nivel de accidentabilidad, que se ha situado muy por debajo de los niveles de otros proyectos de similar envergadura. Por tanto no solo hay que destacar la velocidad, que es buena para la rentabilidad del proyecto, sino también el cuidado con el que se ha realizado, que es aún más importante.;¿Qué consecuencias se derivan del reducido nivel de accidentabilidad, muy por debajo de proyectos de similar envergadura, durante la ejecución de este complejo proyecto?;no solo hay que destacar la velocidad, que es buena para la rentabilidad del proyecto, sino también el cuidado con el que se ha realizado, que es aún más importante
3591;En 2015, sin embargo, la colaboración ha sido económica, (9.000 €) ya que el servicio que antes se prestaba, ya no está en manos de Cellnex, sino de otra compañía.;¿Por qué en 2015 la colaboración ha sido económica, (9.000 €)?;el servicio que antes se prestaba, ya no está en manos de Cellnex, sino de otra compañía
1269;El proceso de transformación digital en el que está inmersa OTIS ha supuesto un desafío de primera magnitud porque supone un importantísimo cambio cultural.;¿Por qué el proceso de transformación digital en el que está inmersa OTIS ha supuesto un desafío de primera magnitud? ;supone un importantísimo cambio cultural
3414;Se dio el visto bueno al pago de un dividendo complementario de 0,0682 euros brutos por acción, con lo que la remuneración total del ejercicio de 2017 se elevó a 0,25 euros.;¿Qué se ha supuesto el pago de un dividendo complementario por acción?;la remuneración total del ejercicio de 2017 se elevó a 0,25 euros
1769;otro aspecto importante de este proceso es la sensibilización hacia el proveedor, ya que en todo momento la acción se desarrolla en su presencia y en sus propias instalaciones.;¿Por qué se afirma que otro aspecto importante de este proceso es la sensibilización hacia el proveedor?;en todo momento la acción se desarrolla en su presencia y en sus propias instalaciones
1984;Nuevos empleos: El nuevo panorama social plantea un reto a nivel educativo y formativo, ya que están surgiendo nuevos empleos y perfiles profesionales que todavía no somos capaces de imaginar. El verdadero desafío será conseguir al mejor talento a la altura de los retos del mercado.;¿Por qué el nuevo panorama social plantea un reto a nivel educativo y formativo?;están surgiendo nuevos empleos y perfiles profesionales que todavía no somos capaces de imaginar
2952;El consumo energético en 2016 fue de 6.740 Gwh, un 2,2% menor que el año anterior gracias a nuestro Plan de Eficiencia Energética.;¿Qué efecto produjo su Plan de Eficiencia Energética?;El consumo energético en 2016 fue de 6.740 Gwh, un 2,2% menor que el año anterior
2950;Debido al vencimiento de 200 millones de euros en junio de 2015 en Avasa, dentro de la gestión prudente de vencimientos de deuda de Abertis, durante el mes de noviembre se cerró la refinanciación que incluye una línea de 200 millones.;¿Qué provocó el vencimiento de 200 millones de euros en junio de 2015 en Avasa?;dentro de la gestión prudente de vencimientos de deuda de Abertis, durante el mes de noviembre se cerró la refinanciación que incluye una línea de 200 millones
584;Las comisiones netas ascendieron a 1.148,6 millones de euros (1.022,8 millones de euros sin considerar TSB) y crecieron un 14,5% (10,6% sin considerar TSB) en términos interanuales (T4). Este crecimiento se manifestó como consecuencia principalmente de la evolución positiva de las comisiones de comercialización de fondos de pensiones y seguros, que crecen un 48,9% respeto al ejercicio anterior.;¿Cuál ha sido la causa del crecimiento de las comisiones netas a 1.148,6 millones de euros (1.022,8 millones de euros sin considerar TSB), conllevando un aumento del 14,5% (10,6% sin considerar TSB) en términos interanuales (T4)?;se manifestó como consecuencia principalmente de la evolución positiva de las comisiones de comercialización de fondos de pensiones y seguros, que crecen un 48,9% respeto al ejercicio anterior
3046;Popular La incorporación de Banco Popular se ha materializado en una pérdida contable de 37 millones debido a los cargos extraordinarios realizados para costes de integración. a ntes de los mismos, el beneficio ordinario atribuido fue de 263 millones de euros.;¿Qué consecuencia han tenido los cargos extraordinarios realizados para costes de integración?;La incorporación de Banco Popular se ha materializado en una pérdida contable de 37 millones
